Item,Price,ImageURL
"Dell PowerEdge R730xd 19"" 2U 24x 2,5"" SFF 2x Intel XEON E5-2600 v3 v4 DDR4 ECC PERC SAS Raid 4x NVMe 2x PSU -CTO-","Price excl. VAT:236,97 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r730xd-19-2u-24x-25-sff-2x-intel-xeon-e5-2600-v3-v4-perc-sas-sata-raid-4x-nvme-2x-psu-cto--993.jpg
"Dell PowerEdge R730xd 19"" 2U 12x 3,5"" LFF 2x Intel XEON E5-2600 v3 v4 PERC SAS SATA Raid 2x PSU -CTO-","Price excl. VAT:329,41 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r730xd-19-2u-12x-35-lff-2x-intel-xeon-e5-2600-v3-v4-perc-sas-sata-raid-2x-psu-cto-.jpg
"Dell PowerEdge R620 19"" 1U Server 8x 2,5"" SFF 2x Intel XEON E5-2600 v1 v2 DDR3 ECC Raid 2x PSU 3xLP - CTO -","Price excl. VAT:152,94 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r620-19-1u-server-8x-25-sff-2x-intel-xeon-e5-2600-v1-v2-ddr3-ecc-raid-2x-psu-3xlp-cto-.jpg
"Dell PowerEdge R630 19"" 1U Server 10x 2,5"" SFF 4x NVMe 2x Intel XEON E5-2600 v3 v4 DDR4 ECC Raid 2x PSU","Price excl. VAT:119,33 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r630-19-1u-server-10x-25-sff-2x-intel-xeon-e5-2600-v3-v4-perc-sas-sata-raid-2x-psu-cto-.jpg
"Dell PowerEdge R640 19"" 1U Server 10x 2,5"" SFF 8x U.2 NVMe 2x Intel XEON Scalable LGA3647 DDR4 ECC PERC Raid 2x PSU","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r640-19-1u-server-10x-25-sff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-perc-raid-2x-psu.jpg
"Dell PowerEdge R720 19"" 2U 16x 2,5"" SFF 2x Intel XEON E5-2600 v1 v2 DDR3 ECC PERC Raid 2x PSU Server -CTO-","Price excl. VAT:57,98 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r720-19-2u-16x-25-sff-2x-intel-xeon-e5-2600-v1-v2-perc-sas-sata-raid-2x-psu-cto-.jpg
"Dell PowerEdge T320 8x 3,5"" LFF Intel XEON E5-2400 v1 / v2 PERC SAS SATA Raid vmware Tower Server -CTO-","Price excl. VAT:83,19 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-t320-8x-35-lff-intel-xeon-e5-2400-v1-v2-perc-sas-sata-raid-vmware-tower-storage-server-cto-.jpg
"Dell PowerEdge R630 19"" 1U Server 8x 2,5"" SFF 2x Intel XEON E5-2600 v3 v4 DDR4 ECC Raid 2x PSU 1x FP 1x LP -CTO-","Price excl. VAT:136,13 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r630-19-1u-server-8x-25-sff-2x-intel-xeon-e5-2600-v3-v4-perc-sas-sata-raid-2x-psu-1x-fp-1x-lp-cto--11434.jpg
"Dell PowerEdge R620 19"" 1U Server 10x 2,5"" SFF 2x Intel XEON E5-2600 v1 v2 PERC DDR3 ECC Raid 2x PSU - CTO -","Price excl. VAT:119,33 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r620-19-1u-server-10x-25-sff-2x-intel-xeon-e5-2600-v1-v2-perc-sas-sata-raid-2x-psu-cto-.jpg
"Dell PowerEdge T440 16x 2,5"" SFF 2x Intel XEON Scalable LGA3647 Server PERC SAS SATA Raid vmware Tower Server 2x HotSwap PSU","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-t440-16x-25-sff-2x-intel-xeon-scalable-lga3647-server-perc-sas-sata-raid-vmware-tower-server-2x-hotswap-psu-12808.jpg
"Dell PowerEdge R730 19"" 2U 8x 2,5"" SFF 2x Intel XEON E5-2600 v3 v4 DDR4 Raid 2x PSU","Price excl. VAT:152,94 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r730-19-2u-8x-25-sff-2x-intel-xeon-e5-2600-v3-v4-perc-sas-sata-raid-2x-psu-cto--7465.jpg
"Dell PowerEdge R740xd 19"" 2U 24x 2,5"" SFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740xd-19-2u-24x-25-sff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R740 19"" 2U 16x 2,5"" SFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:741,18 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740-19-2u-16x-25-sff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
