Link Page,Items,Price,Discount,Sale Price
https://www.modanisa.com/en/-plus-size-dresses-allday-7982413.html,Allday -  - Plus Size Dresses - ALLDAY,$ 166.99,35%,$ 108.54
https://www.modanisa.com/en/blue-multi-crew-neck-unlined-modest-dress-imannoor-8405351.html,Imannoor - Blue - Multi - Crew neck - Unlined - Modest Dress - IMANNOOR,$ 706.99,35%,$ 459.54
https://www.modanisa.com/en/mink-knit-dresses-lurex-moda-8487942.html,Lurex moda - Lurex Moda Mink Knit Dresses,$ 182.99,40%,$ 109.79
https://www.modanisa.com/en/green-knit-dresses-lurex-moda-8487944.html,Lurex moda - Lurex Moda Green Knit Dresses,$ 182.99,40%,$ 109.79
https://www.modanisa.com/en/red-knit-dresses-lurex-moda-8487945.html,Lurex moda - Lurex Moda Red Knit Dresses,$ 182.99,40%,$ 109.79
https://www.modanisa.com/en/black-modest-dress-mizalle-8812872.html,Mizalle - Black - Modest Dress - MIZALLE,$ 440.99,35%,$ 286.64
https://www.modanisa.com/en/powder-pink-modest-dress-mizalle-8812846.html,Mizalle - Powder Pink - Modest Dress - MIZALLE,$ 440.99,35%,$ 286.64
https://www.modanisa.com/en/black-modest-dress-be-blue-8835863.html,Be blue - Black - Modest Dress - BE BLUE,$ 402.99,35%,$ 261.94
https://www.modanisa.com/en/navy-blue-modest-dress-be-blue-8835874.html,Be blue - Navy Blue - Modest Dress - BE BLUE,$ 402.99,35%,$ 261.94
https://www.modanisa.com/en/lilac-modest-dress-be-blue-8934958.html,Be blue - Lilac - Modest Dress - BE BLUE,$ 402.99,35%,$ 261.94
https://www.modanisa.com/en/bitter-chocolate-plus-size-dress-alia-8954709.html,Alia - Bitter Chocolate - Plus Size Dress - Alia,$ 364.99,,$ 304.99
https://www.modanisa.com/en/black-plus-size-dress-alia-8954708.html,Alia - Black - Plus Size Dress - Alia,$ 364.99,,$ 304.99
https://www.modanisa.com/en/purple-plus-size-dress-alia-8954802.html,Alia - Purple - Plus Size Dress - Alia,$ 304.99,,$ 254.99
https://www.modanisa.com/en/cream-crew-neck-modest-dress-ikranur-8970276.html,Ä°kranur - Cream - Crew neck - Modest Dress - Ä°kranur,$ 545.99,35%,$ 354.89
